Epoch,Train loss,Learning rate,Train MSE,Test MSE,logdet,sigma,Train NN MSE,Test NN MSE,Train loss2
1,354.6816674278262,0.01,4.772523023368247,4.42243460318918,-3.885760094430244,0.1175270823828885,251.70635981618955,260.3361412893602,352.11149128009913
2,127.49908330549759,0.01,1.648937368780372,2.2762139869290072,-3.01771448985024,0.12863798087879477,441.27597342820144,462.64989067340423,126.54161396392115
3,25.151716592692445,0.01,0.239875224726936,1.3480071409677439,-2.472264686588575,0.13668084479134127,675.0879264703541,718.1819459410614,24.70937301802058
4,17.517881622036587,0.01,0.1059396672324256,1.3718015097079028,-2.198938281787189,0.14280965735151308,929.4103147407955,1002.1908653349585,17.285549553982204
5,20.131397923569278,0.01,0.12485846008175232,2.9663620405498254,-1.8901650654625735,0.1476371901660788,1187.2836178964494,1296.2676463864248,20.052163432103782
6,20.838525938066184,0.01,0.0957737467738669,5.689529436807997,-1.6097674058380376,0.15151499832169932,1441.4563645528242,1592.9398640959919,20.88196014521295
7,21.90426169143905,0.01,0.09681397146973231,5.699361417092258,-1.481747340956613,0.1546679957733856,1662.3270169949087,1850.1015001036506,22.03314966343097
8,20.92038028987485,0.01,0.09832438013070473,3.913961729518328,-1.5074638022558837,0.1572513006873392,1858.7203318324327,2079.939521064112,21.09928850058088
9,19.795714922133197,0.01,0.09736766730012356,3.0960443085749714,-1.5408477742880993,0.15937960304547327,1985.3089268362833,2223.7169267874356,20.01621175877562
10,17.197634348496138,0.01,0.055052339471303585,2.302691059295248,-1.5482816875531218,0.16113823690249035,2072.585687444715,2318.395406226732,17.452031183096025
11,16.993555743100934,0.01,0.06843695080650826,2.3641347662208694,-1.5502782521219927,0.162594623975542,2141.730289810971,2389.818505130441,17.27643306476743
12,16.332583304056605,0.01,0.09892892994566659,1.4313954452475526,-1.6703979290841757,0.16380285279515755,2215.1194541985806,2470.183388256264,16.63556284478271
13,17.61606178051281,0.01,0.15235662863767538,1.7434500978714265,-1.663147058491094,0.16480721779265667,2286.837277043983,2548.9066821303627,17.941165334348636
14,14.56950167240867,0.01,0.09635217534209271,1.1916312972981895,-1.7525912317142762,0.16564411130219162,2369.069859854157,2643.2112280681217,14.91592877461313
15,13.186801829228035,0.01,0.095169823509805,1.5914122873165144,-1.8603817542630796,0.16634053222916603,2463.886062465758,2751.9028674136734,13.558048995371589
16,12.522970581119854,0.01,0.08379975080404299,1.5491801048264418,-1.7943043200721704,0.16691997026446143,2533.147345891101,2830.874075085213,12.92089910736373
17,12.357218456005857,0.01,0.07049377105978862,1.7346011037074192,-1.7599704541881351,0.1674021471503668,2582.6683127655206,2887.8249329363016,12.779675560410569
18,11.88633884557874,0.01,0.06979790651706937,1.4301249559129303,-1.7823529453628253,0.16780264831219344,2616.5900301410966,2933.381597467263,12.327942955915562
19,10.548503464573905,0.01,0.08042327170686514,1.3282319446802997,-1.91808994480616,0.16813561075347924,2641.85412641609,2979.541035645568,11.004684945858303
20,10.651550691109296,0.01,0.0735526486577891,0.7542067321268154,-1.8735563795942884,0.16841294255563144,2661.6488297698675,3019.9303512928323,11.12279326444585
21,9.925674051936257,0.01,0.07379603592832516,0.8153577352445126,-1.9645492856239914,0.16864305794441653,2671.443102899254,3039.710443662781,10.411955263421762
22,9.56512012734598,0.01,0.09377567426672848,0.9945588507453753,-2.0928876164323547,0.16883424557581792,2671.4415993645607,3039.186492232939,10.065686842758586
23,9.205371796543785,0.01,0.11082617339358654,0.8055754086719336,-2.199970171373801,0.1689938310418275,2659.573155400518,3025.2149596875806,9.720914191617618
24,9.186139805480261,0.01,0.10919548625787287,0.910282887706528,-2.154271329720981,0.16912815256738162,2651.163220108457,3014.564975492996,9.717064045836187
25,8.975165177373798,0.01,0.11009070463379216,0.8380593499613063,-2.1677318854915786,0.16924183854655825,2650.33854997544,3015.2046810735887,9.519804527947539
26,8.489192452447437,0.01,0.1217199569162449,0.76734213664788,-2.311261803100176,0.16933789200280913,2663.8294649149675,3039.2331633404547,9.045362225024649
27,8.80635697254882,0.01,0.11933344348701758,0.6605336586506314,-2.2826952029655407,0.1694208019932245,2682.913665825702,3066.8260393960322,9.374123686044612
28,7.7445794901230816,0.01,0.09545787950715506,0.6639303158043116,-2.273129751942719,0.16949285699419975,2683.501218557753,3065.8547869338026,8.325521037721638
29,7.851990964903031,0.01,0.06893732960264755,0.7686793980990081,-2.0035551221690437,0.16955499615527894,2673.245635212178,3047.445903028529,8.44970441760691
30,7.692491422805102,0.01,0.06751368664949212,0.8725268313016983,-2.001485608555001,0.16960733480014173,2669.6799370934827,3040.3979445687755,8.302318419428916
31,7.0307198187894535,0.01,0.08883865036387369,0.603398576941767,-2.2670453305731604,0.16965140775661994,2670.714210519169,3045.599914681717,7.648511412752203
32,7.38027381487888,0.01,0.10932298614481264,0.6510584337110504,-2.3463273474529682,0.1696897928409611,2670.2694216112764,3049.723590432616,8.008484076635831
33,7.125645777176298,0.01,0.11926955353577327,0.7124989958394609,-2.3810205683081835,0.16972423424946984,2656.324230062305,3028.9314007448115,7.765585999689806
34,7.186230637915594,0.01,0.1042423276724779,0.7075804737546124,-2.246176895649387,0.16975576027981135,2625.946712370351,2991.1334215920406,7.835180817840769
35,7.741435546424786,0.01,0.09903423794692441,0.9243663255094264,-2.14634157836948,0.16978366771219155,2596.7619392587612,2964.749204737865,8.399260682239236
36,7.036112657990929,0.01,0.08628546879062118,0.8965983214920606,-2.156164461309927,0.16980879295345774,2576.6787140633473,2953.4341249998242,7.704499192492277
37,7.127261141062381,0.01,0.07861208273220276,0.3638878872341159,-2.107373290668285,0.16983099066213322,2565.4157614603832,2941.5833099539614,7.804580410270391
38,7.002453432539583,0.01,0.10258000156705413,0.43087249958542195,-2.252211481653139,0.16985060023499485,2560.6296416260475,2932.245720411911,7.689893856831417
39,6.936876938756057,0.01,0.10215651472638917,0.45416550468055145,-2.2192890828296625,0.16986964539842678,2549.9772276753697,2910.9769305900622,7.640227953174026
40,6.856227249827372,0.01,0.09072869718577202,0.5942655636254913,-2.1593316285390585,0.16988847089567213,2523.9153740127513,2873.229478233624,7.573469540007982
41,7.028933160725219,0.01,0.07138594509986361,0.8285588210916924,-1.9541968584469638,0.16990546105735213,2488.9895199727075,2835.0562932688995,7.754710911633866
42,6.144196967146391,0.01,0.08081521602909031,0.5381787502610906,-2.2021787405454005,0.16991963434904073,2467.50267365448,2823.496903842908,6.873643534170854
43,6.177791477985023,0.01,0.08230281235453699,0.381328821085727,-2.231835668638138,0.1699326208812591,2459.7961644486472,2826.511149622134,6.912946619219622
44,6.4693363750257795,0.01,0.08644733893573693,0.4840074365681288,-2.173841437145159,0.16994527531578144,2448.397751923,2812.7466742009974,7.214251445357786
45,6.115429143463094,0.01,0.09267719927697475,0.36905952112804635,-2.2822206359359263,0.16995750493416337,2430.174791308955,2788.7133823919944,6.868364763830469
46,5.806812000052213,0.01,0.09839921393108557,0.4009120278422855,-2.3502467077862756,0.1699696415769195,2404.4225346075173,2745.910482681545,6.57056271645938
47,6.319979698519943,0.01,0.0787401848793032,0.6574857440829313,-2.086857237614132,0.16998209452032922,2382.7303615974133,2711.4384445866926,7.098104596109955
48,5.892322523698858,0.01,0.07385474013371765,0.6140858944812296,-2.117447799414835,0.16999356374400654,2366.853830149741,2695.1420687269692,6.677028316834543
49,5.200618613285437,0.01,0.09370537508967493,0.5165222641891104,-2.3866567027149377,0.17000409830109323,2355.892206403239,2691.7978752495596,5.989139013859603
50,6.280829719128714,0.01,0.07863630777169865,0.38139517358877323,-2.10702366734065,0.17001494219419758,2349.6581835367733,2695.505904366897,7.080030363141873
51,6.149026016871459,0.01,0.07902499248477662,0.4795253290072865,-2.1301337193246734,0.17002540790380988,2331.0013001111715,2674.128408951678,6.955653068875794
52,5.206893308433766,0.01,0.0855855214390272,0.3786707918780724,-2.341397932564445,0.17003544517341387,2299.7534544575324,2631.136817703383,6.016841994152403
53,5.165694839834224,0.01,0.09339385490870586,0.5149747512061644,-2.334786860974383,0.17004632073057652,2264.865079790929,2587.452013070486,5.983748725817858
54,4.423562789351442,0.01,0.08534575958814201,0.3903309987500143,-2.420427265838772,0.17005795591313697,2248.319386794689,2566.88046722049,5.251285176593975
55,4.865367194502484,0.01,0.08772452293155673,0.4315481416348847,-2.356905048449118,0.17006963658953703,2229.8761661898657,2547.5243453979847,5.6991485959416615
56,4.38155207325124,0.01,0.08346838955621191,0.3899417900330606,-2.394063842956955,0.17008110343163507,2216.9462428089,2527.450195608514,5.223212564430856
57,4.179456261876415,0.01,0.08246861837652401,0.3816684073133491,-2.4157289319458615,0.1700921451958204,2214.339312521199,2527.6123207171017,5.02770737776685
58,4.083674802585964,0.01,0.07746597750150659,0.3352107349959103,-2.3885502101226126,0.17010350903806776,2215.813747888751,2523.9866232523464,4.94086531846326
59,4.0937920727285055,0.01,0.07825023707839517,0.3267137946200641,-2.3846520214692535,0.17011488035284253,2217.4994415914757,2524.7770096811755,4.956677814553559
60,4.2769085972465755,0.01,0.08024533171389467,0.2803377213231971,-2.4169901766743838,0.1701258374511025,2223.650547711584,2538.5119265550225,5.1455117999119295
