Epoch,Layer,Depth,Effective Rank,Smooth Rank (λ=0.1),Smooth Rank (λ=1.0),Smooth Rank (λ=10.0),Train Loss,Test Loss
6,0,4,10.233936309814453,22.28232192993164,20.57685661315918,17.426738739013672,25.025557005705657,33.42644422403971
6,1,4,9.075570106506348,61.72876739501953,49.86104965209961,26.694631576538086,25.025557005705657,33.42644422403971
6,2,4,nan,52.71782684326172,34.3895263671875,15.468742370605469,25.025557005705657,33.42644422403971
6,3,4,nan,38.309600830078125,19.982446670532227,8.375189781188965,25.025557005705657,33.42644422403971
7,0,4,10.233932495117188,22.282310485839844,20.576862335205078,17.426738739013672,20.428852335611978,28.42445654296875
7,1,4,9.02860164642334,61.725372314453125,49.84202194213867,26.69793701171875,20.428852335611978,28.42445654296875
7,2,4,nan,52.827632904052734,34.69548034667969,15.76435661315918,20.428852335611978,28.42445654296875
7,3,4,nan,38.667388916015625,20.335851669311523,8.585193634033203,20.428852335611978,28.42445654296875
8,0,4,10.233939170837402,22.28384780883789,20.577224731445312,17.426780700683594,19.045127750820583,25.67876821899414
8,1,4,9.045631408691406,61.72492218017578,49.84830856323242,26.739925384521484,19.045127750820583,25.67876821899414
8,2,4,nan,52.98758316040039,34.995548248291016,15.951619148254395,19.045127750820583,25.67876821899414
8,3,4,nan,38.784088134765625,20.474462509155273,8.700017929077148,19.045127750820583,25.67876821899414
9,0,4,10.233936309814453,22.282732009887695,20.57699966430664,17.4267578125,16.353984048914025,22.627022633870443
9,1,4,9.017060279846191,61.724822998046875,49.846641540527344,26.744951248168945,16.353984048914025,22.627022633870443
9,2,4,nan,52.889625549316406,35.00197982788086,16.010940551757812,16.353984048914025,22.627022633870443
9,3,4,nan,38.6680793762207,20.473840713500977,8.720288276672363,16.353984048914025,22.627022633870443
10,0,4,10.233936309814453,22.282766342163086,20.576984405517578,17.426753997802734,16.712829078674318,23.314209833780925
10,1,4,9.055587768554688,61.727909088134766,49.858909606933594,26.775415420532227,16.712829078674318,23.314209833780925
10,2,4,nan,52.92742919921875,35.12889862060547,16.118820190429688,16.712829078674318,23.314209833780925
10,3,4,nan,39.318519592285156,20.845932006835938,8.86320972442627,16.712829078674318,23.314209833780925
11,0,4,10.233936309814453,22.28276824951172,20.57699203491211,17.426753997802734,14.348670453672057,19.338178822835285
11,1,4,9.049076080322266,61.717140197753906,49.81916809082031,26.755382537841797,14.348670453672057,19.338178822835285
11,2,4,nan,52.73219299316406,34.93328094482422,16.047260284423828,14.348670453672057,19.338178822835285
11,3,4,nan,38.88417434692383,20.660240173339844,8.849413871765137,14.348670453672057,19.338178822835285
12,0,4,10.233936309814453,22.283065795898438,20.577064514160156,17.426761627197266,12.865481360965305,18.56108371480306
12,1,4,9.054728507995605,61.70781326293945,49.783660888671875,26.727447509765625,12.865481360965305,18.56108371480306
12,2,4,nan,52.63487243652344,35.081565856933594,16.20354461669922,12.865481360965305,18.56108371480306
12,3,4,nan,39.392173767089844,20.96691131591797,8.978498458862305,12.865481360965305,18.56108371480306
13,0,4,10.233939170837402,22.28326416015625,20.577102661132812,17.426767349243164,12.95441824552748,18.457266998291015
13,1,4,9.008602142333984,61.68118667602539,49.702972412109375,26.68532371520996,12.95441824552748,18.457266998291015
13,2,4,nan,52.667457580566406,35.10639572143555,16.21132469177246,12.95441824552748,18.457266998291015
13,3,4,nan,39.217681884765625,20.899906158447266,8.965651512145996,12.95441824552748,18.457266998291015
14,0,4,10.233942031860352,22.28363800048828,20.57718276977539,17.426776885986328,12.555172836727566,18.656496022542317
14,1,4,9.020360946655273,61.67878723144531,49.69181823730469,26.68653106689453,12.555172836727566,18.656496022542317
14,2,4,nan,52.673255920410156,35.167640686035156,16.238128662109375,12.555172836727566,18.656496022542317
14,3,4,nan,39.37931823730469,21.0846004486084,9.039752960205078,12.555172836727566,18.656496022542317
15,0,4,10.233939170837402,22.282878875732422,20.577014923095703,17.4267578125,11.521950352138942,16.407992894490558
15,1,4,9.040860176086426,61.67308807373047,49.6623649597168,26.660688400268555,11.521950352138942,16.407992894490558
