Epoch,Layer,Depth,Effective Rank,Smooth Rank (λ=0.1),Smooth Rank (λ=1.0),Smooth Rank (λ=10.0),Train Loss,Test Loss
0,0,4,nan,9.831201553344727,6.844794273376465,4.820279598236084,0.21754833675369387,0.20772582534475442
0,1,4,2.340083599090576,20.23752784729004,11.686119079589844,6.326314926147461,0.21754833675369387,0.20772582534475442
0,2,4,nan,12.531005859375,6.923851013183594,3.756579637527466,0.21754833675369387,0.20772582534475442
0,3,4,1.7302985191345215,10.39060115814209,5.165398120880127,2.649667263031006,0.21754833675369387,0.20772582534475442
1,0,4,nan,9.820465087890625,6.8437042236328125,4.820159912109375,0.22756260572499806,0.22095678166352817
1,1,4,nan,10.00988483428955,6.983926773071289,4.882750988006592,0.22756260572499806,0.22095678166352817
1,2,4,nan,7.747416019439697,5.1415228843688965,3.2664389610290527,0.22756260572499806,0.22095678166352817
1,3,4,nan,8.052750587463379,4.456233024597168,2.4097800254821777,0.22756260572499806,0.22095678166352817
2,0,4,nan,9.831571578979492,6.844888687133789,4.820293426513672,0.20971295312990115,0.20358981491936715
2,1,4,nan,8.882620811462402,6.638187408447266,4.7272233963012695,0.20971295312990115,0.20358981491936715
2,2,4,nan,6.756985664367676,4.726193904876709,3.1055572032928467,0.20971295312990115,0.20358981491936715
2,3,4,nan,7.8878703117370605,4.334200859069824,2.3329830169677734,0.20971295312990115,0.20358981491936715
3,0,4,nan,9.821170806884766,6.843780994415283,4.820168495178223,0.18338933505147426,0.1786584786526005
3,1,4,nan,8.557121276855469,6.4378862380981445,4.59967565536499,0.18338933505147426,0.1786584786526005
3,2,4,nan,6.02667236328125,4.377073764801025,2.9609954357147217,0.18338933505147426,0.1786584786526005
3,3,4,nan,7.635324478149414,4.175041198730469,2.2687017917633057,0.18338933505147426,0.1786584786526005
4,0,4,1.3434303998947144,9.837560653686523,6.845418930053711,4.820346832275391,0.18012364831532895,0.17646223482947687
4,1,4,nan,8.24914264678955,6.239529132843018,4.471609115600586,0.18012364831532895,0.17646223482947687
4,2,4,nan,5.422553062438965,4.0721659660339355,2.8226213455200195,0.18012364831532895,0.17646223482947687
4,3,4,nan,7.330915451049805,3.924530506134033,2.170255422592163,0.18012364831532895,0.17646223482947687
5,0,4,nan,9.821606636047363,6.843905448913574,4.820187568664551,0.1609366274260298,0.1564531824715054
5,1,4,nan,7.981498718261719,6.04196834564209,4.34176778793335,0.1609366274260298,0.1564531824715054
5,2,4,nan,5.00916862487793,3.850165605545044,2.707719087600708,0.1609366274260298,0.1564531824715054
5,3,4,nan,7.074382305145264,3.8092188835144043,2.1243135929107666,0.1609366274260298,0.1564531824715054
6,0,4,nan,9.821266174316406,6.843801498413086,4.820171356201172,0.14178496111827865,0.13831046718201145
6,1,4,nan,7.7317023277282715,5.862987041473389,4.226827621459961,0.14178496111827865,0.13831046718201145
6,2,4,nan,4.8163228034973145,3.670698404312134,2.612133741378784,0.14178496111827865,0.13831046718201145
6,3,4,nan,6.746577262878418,3.656054973602295,2.082685708999634,0.14178496111827865,0.13831046718201145
7,0,4,1.3434302806854248,9.837675094604492,6.845482349395752,4.820357322692871,0.11670538273840865,0.11350644269189275
