Epoch,Layer,Depth,Effective Rank,Smooth Rank (λ=0.1),Smooth Rank (λ=1.0),Smooth Rank (λ=10.0),Train Loss,Test Loss
0,0,4,nan,4.9655842781066895,4.126565933227539,3.4808266162872314,88.00705624348096,87.3599245048666
0,1,4,2.8656439781188965,19.764070510864258,10.898932456970215,5.9422173500061035,88.00705624348096,87.3599245048666
0,2,4,nan,14.408751487731934,7.325073719024658,3.794167995452881,88.00705624348096,87.3599245048666
0,3,4,nan,10.97579288482666,5.4347381591796875,2.76692271232605,88.00705624348096,87.3599245048666
1,0,4,nan,4.965493202209473,4.126510143280029,3.480818510055542,79.99051144552303,80.11140343115318
1,1,4,2.9638490676879883,19.843557357788086,11.124934196472168,6.092901229858398,79.99051144552303,80.11140343115318
1,2,4,nan,15.421135902404785,8.033541679382324,4.116391181945801,79.99051144552303,80.11140343115318
1,3,4,nan,12.63693618774414,6.297889232635498,3.0099587440490723,79.99051144552303,80.11140343115318
2,0,4,nan,4.965785980224609,4.126688003540039,3.4808454513549805,73.63410314308894,75.0467150556574
2,1,4,3.0514605045318604,19.88553810119629,11.298308372497559,6.215244293212891,73.63410314308894,75.0467150556574
2,2,4,nan,16.04412841796875,8.39047622680664,4.217297554016113,73.63410314308894,75.0467150556574
2,3,4,nan,13.540454864501953,6.66808557510376,3.0755319595336914,73.63410314308894,75.0467150556574
3,0,4,nan,4.965707778930664,4.126641273498535,3.4808387756347656,69.16212567835821,72.28090191374848
3,1,4,3.148036241531372,20.109533309936523,11.484419822692871,6.317263126373291,69.16212567835821,72.28090191374848
3,2,4,nan,16.885868072509766,8.758695602416992,4.307013988494873,69.16212567835821,72.28090191374848
3,3,4,nan,14.148306846618652,6.980917930603027,3.218599319458008,69.16212567835821,72.28090191374848
4,0,4,nan,4.9654860496521,4.12650728225708,3.4808175563812256,64.54005677977777,68.40794298474184
4,1,4,3.251655340194702,20.39896011352539,11.75588321685791,6.446765899658203,64.54005677977777,68.40794298474184
4,2,4,nan,18.112031936645508,9.214014053344727,4.402190208435059,64.54005677977777,68.40794298474184
4,3,4,nan,14.910536766052246,7.28272819519043,3.3126370906829834,64.54005677977777,68.40794298474184
5,0,4,nan,4.965480327606201,4.126502990722656,3.4808173179626465,58.61728534323365,62.633587149988855
5,1,4,3.3539063930511475,20.601287841796875,11.929431915283203,6.534518241882324,58.61728534323365,62.633587149988855
5,2,4,nan,19.05527114868164,9.71420955657959,4.505429744720459,58.61728534323365,62.633587149988855
5,3,4,nan,16.074138641357422,7.761264801025391,3.4430649280548096,58.61728534323365,62.633587149988855
6,0,4,nan,4.965456008911133,4.126489639282227,3.480818033218384,53.813559677885806,58.34267644541024
6,1,4,3.4371650218963623,20.461444854736328,11.931527137756348,6.550163269042969,53.813559677885806,58.34267644541024
6,2,4,nan,19.15758514404297,9.817612648010254,4.550149917602539,53.813559677885806,58.34267644541024
6,3,4,nan,16.45277976989746,8.068249702453613,3.540764331817627,53.813559677885806,58.34267644541024
7,0,4,nan,4.965552806854248,4.12654972076416,3.4808249473571777,51.671754926488184,57.294836430980155
7,1,4,3.5243263244628906,20.403478622436523,11.948805809020996,6.56846809387207,51.671754926488184,57.294836430980155
7,2,4,nan,19.32069206237793,9.949906349182129,4.582494258880615,51.671754926488184,57.294836430980155
7,3,4,nan,16.896387100219727,8.431806564331055,3.6512033939361572,51.671754926488184,57.294836430980155
8,0,4,nan,4.965590000152588,4.126568794250488,3.480828046798706,45.26385546524117,49.521720229868585
8,1,4,3.617340087890625,20.50910758972168,12.028924942016602,6.603883743286133,45.26385546524117,49.521720229868585
8,2,4,nan,19.71619987487793,10.195240020751953,4.715123653411865,45.26385546524117,49.521720229868585
8,3,4,nan,17.525487899780273,8.85995101928711,3.9025731086730957,45.26385546524117,49.521720229868585
9,0,4,nan,4.965704917907715,4.126638889312744,3.48083758354187,44.21427984425232,48.98709828443381
9,1,4,3.7100183963775635,20.673234939575195,12.087397575378418,6.6378560066223145,44.21427984425232,48.98709828443381
9,2,4,nan,20.26702880859375,10.368311882019043,4.808662414550781,44.21427984425232,48.98709828443381
9,3,4,nan,18.037771224975586,9.256436347961426,4.119629859924316,44.21427984425232,48.98709828443381
10,0,4,nan,4.965693950653076,4.126631736755371,3.480835437774658,36.06742164623358,38.85588974765862
10,1,4,3.8266713619232178,20.931570053100586,12.194828033447266,6.69061803817749,36.06742164623358,38.85588974765862
10,2,4,nan,21.150165557861328,10.731573104858398,4.944991111755371,36.06742164623358,38.85588974765862
10,3,4,nan,18.59406280517578,9.672335624694824,4.346842288970947,36.06742164623358,38.85588974765862
11,0,4,nan,4.965743064880371,4.12666130065918,3.4808406829833984,30.653257026614654,33.506121697174024
11,1,4,3.9486138820648193,21.182546615600586,12.302299499511719,6.746528148651123,30.653257026614654,33.506121697174024
11,2,4,nan,21.70587158203125,10.95994758605957,5.01664400100708,30.653257026614654,33.506121697174024
11,3,4,nan,19.034557342529297,10.009178161621094,4.5728583335876465,30.653257026614654,33.506121697174024
12,0,4,nan,4.965768814086914,4.126676559448242,3.4808433055877686,27.25030935117228,30.36749956351935
12,1,4,4.063206672668457,21.404130935668945,12.395013809204102,6.796285152435303,27.25030935117228,30.36749956351935
12,2,4,nan,22.14240264892578,11.081957817077637,5.030238628387451,27.25030935117228,30.36749956351935
12,3,4,nan,19.284942626953125,10.189987182617188,4.728049278259277,27.25030935117228,30.36749956351935
13,0,4,nan,4.96574068069458,4.126659393310547,3.480839252471924,20.4809339295357,22.971915711231492
13,1,4,4.1637139320373535,21.671772003173828,12.498367309570312,6.839483261108398,20.4809339295357,22.971915711231492
13,2,4,nan,22.589387893676758,11.26058578491211,5.069214820861816,20.4809339295357,22.971915711231492
13,3,4,nan,19.4529972076416,10.303454399108887,4.85124397277832,20.4809339295357,22.971915711231492
14,0,4,nan,4.96566915512085,4.126616954803467,3.4808335304260254,18.999761289980334,21.304032346865185
14,1,4,4.247314929962158,21.749832153320312,12.515311241149902,6.864278316497803,18.999761289980334,21.304032346865185
14,2,4,nan,22.58081817626953,11.25181770324707,5.0769362449646,18.999761289980334,21.304032346865185
14,3,4,nan,19.369653701782227,10.227733612060547,4.918059349060059,18.999761289980334,21.304032346865185
15,0,4,nan,4.965846061706543,4.126721382141113,3.4808480739593506,17.898816935413723,20.12604585904279
15,1,4,4.305672645568848,21.70958709716797,12.500041961669922,6.87066650390625,17.898816935413723,20.12604585904279
15,2,4,nan,22.68442153930664,11.343395233154297,5.105091571807861,17.898816935413723,20.12604585904279
15,3,4,nan,19.64349937438965,10.356156349182129,4.993125915527344,17.898816935413723,20.12604585904279
16,0,4,nan,4.965610980987549,4.126580238342285,3.4808309078216553,14.999669991174372,17.074682180885564
16,1,4,4.366580009460449,21.740694046020508,12.524129867553711,6.87563419342041,14.999669991174372,17.074682180885564
16,2,4,nan,22.71693992614746,11.372712135314941,5.100245952606201,14.999669991174372,17.074682180885564
16,3,4,nan,19.683847427368164,10.388813972473145,5.063363552093506,14.999669991174372,17.074682180885564
17,0,4,nan,4.965829849243164,4.126712322235107,3.4808456897735596,13.420134743475517,14.115489001168505
17,1,4,4.4165825843811035,21.63118553161621,12.491357803344727,6.864068508148193,13.420134743475517,14.115489001168505
17,2,4,nan,22.627670288085938,11.336254119873047,5.103072643280029,13.420134743475517,14.115489001168505
17,3,4,nan,19.85730743408203,10.418320655822754,5.041431427001953,13.420134743475517,14.115489001168505
18,0,4,nan,4.965321063995361,4.126408576965332,3.480806827545166,11.621431002999218,11.905145572945857
18,1,4,4.445675373077393,21.53337860107422,12.467171669006348,6.858898639678955,11.621431002999218,11.905145572945857
18,2,4,nan,22.524120330810547,11.306593894958496,5.082032203674316,11.621431002999218,11.905145572945857
18,3,4,nan,19.86412811279297,10.428382873535156,5.069526672363281,11.621431002999218,11.905145572945857
19,0,4,nan,4.965480327606201,4.126502990722656,3.4808194637298584,12.346387224009828,15.095877207117551
19,1,4,4.482837677001953,21.47797393798828,12.438882827758789,6.845062732696533,12.346387224009828,15.095877207117551
19,2,4,nan,22.439537048339844,11.300070762634277,5.072774887084961,12.346387224009828,15.095877207117551
19,3,4,nan,19.876846313476562,10.458151817321777,5.103900909423828,12.346387224009828,15.095877207117551
20,0,4,nan,4.965527057647705,4.126532077789307,3.480821132659912,10.305060883693724,11.89363575306621
20,1,4,4.516296863555908,21.356399536132812,12.386293411254883,6.820367336273193,10.305060883693724,11.89363575306621
20,2,4,nan,22.28274917602539,11.201262474060059,4.98234224319458,10.305060883693724,11.89363575306621
